point_id,x,y,z,r,g,b,n_obs,mean_reproj_error
2639,-0.010203952731398154,0.03350783716945198,-0.011712443146998087,51,48,43,2,0.2571293659978575
2640,-0.015768663923642373,0.03343713992302865,-0.0028967236783442943,139,138,124,2,0.25223124767879956
2641,0.02872304932730408,0.1016273990864889,0.0062978972586879645,114,111,106,2,0.8226203310816931
2642,0.04012896786321029,0.04793009647240544,0.02145694373498222,59,56,48,2,0.03873411341049661
2643,0.04645348604349128,0.06444128066784809,0.040050878208567335,60,59,53,2,0.09994491622691734
2644,0.013316825312799357,0.0241092171288561,0.0401781076929986,10,7,2,5,0.7100972569095425
2645,0.01634524095228135,0.02588106682704331,-0.010157138185678644,103,100,93,4,0.45538351591650084
2646,-0.016785415747264727,0.0319585846893029,-0.01140106120875196,90,86,80,4,1.7140902369732829
2647,0.0017774220435729509,0.030237829749675895,-0.001087559909164823,117,107,99,2,0.06669699969729723
2648,0.02719859266313423,0.04884356184750255,-0.0037389747756183516,38,35,28,2,0.6485710496739727
2649,0.04699826739018306,0.07742693085358869,0.02804105531524634,66,63,61,2,0.05109930155216216
2650,0.04042889606379161,0.09995222927410011,0.013489422427279688,99,100,87,3,0.7995183982348636
2651,0.0009213499166665376,0.0372424839655042,-0.0008180379040883243,19,15,13,2,0.4977324687563927
2652,0.04193796794996637,0.06981925336237338,0.02559613208260764,23,21,16,5,1.3322000787816748
2653,0.009527136454512905,0.040659798196492306,0.01084562916434242,139,134,123,2,0.6620381741173746
2654,0.02336434134145834,0.09635157611513158,0.006442830591938482,142,138,128,2,0.5617280605290969
2655,0.01182744620621354,0.08019739572457733,0.00032185247838931706,219,219,199,2,0.008826927962297483
2656,0.011052795980455585,0.08951182267646521,-0.005112466456225099,166,169,148,4,0.3051104032868297
2657,0.04228533819444982,0.0541764673371938,0.007639406441771873,38,37,30,3,0.4244429915637064
2658,-0.011303992928877949,0.06406872606569944,-0.010722372644737013,106,100,95,2,0.6786766818792933
2659,0.017544993120612827,0.08131807924748134,0.006380243093250052,173,169,158,4,1.2578852452766816
2660,-0.012086645617087353,0.049514565522171795,-0.007308275574326332,64,62,55,2,0.2682861560938712
2661,0.0315968981834389,0.10075736668152502,0.00765826484360652,89,86,81,3,0.9983280804892601
2662,0.008617826367586326,0.02964939590426464,-0.010967414680718674,102,97,87,2,0.25281761524227564
2663,-0.01291002799433608,0.03492063141727542,-0.0008464032537164884,145,141,127,2,0.1026089051290385
2664,0.0322459102624849,0.08317342675137168,0.01885040685050833,159,152,135,2,0.2215235095322536
2665,-0.013091525483982284,0.05186741285088811,-0.009254885097525424,106,102,96,3,0.4815231608225497
2666,0.030166034321104016,0.03839742325802086,0.05393444465737566,220,200,166,5,1.13463042348104
2667,-0.0013579521612015258,0.06911952109820534,-0.007999109120464228,135,135,117,2,0.008938578220833455
2668,0.04008709226954869,0.0526839318598583,0.004427675979805086,33,32,25,2,0.6153469602365426
2669,0.03399623178551532,0.03714793708434321,0.049861380814235697,24,21,12,2,0.12107922716992729
2670,0.0324714708079376,0.03485071309426019,0.04257176350783092,106,106,92,3,0.41574821101188847
2671,0.017705674166683158,0.10012741834355322,-0.003337822328212852,0,0,0,2,0.12657024038788967
2672,0.030602811589315722,0.05240346563315988,0.0352741445607317,141,134,131,2,0.16446947030370213
2673,0.0055292063798060885,0.07994313075627217,-0.00977008544636889,107,104,97,9,0.8780426014181795
2674,0.03151030445340285,0.04187778522306343,0.05004236742788771,224,216,204,4,0.16770937453581192
2675,0.04466251990548461,0.08988773184588328,0.023340336768568216,201,196,184,3,0.2877096733735732
2676,0.027492044877239247,0.03917790141611401,0.03023220133325383,154,145,135,2,0.13286716004850038
2677,0.04060913559004802,0.1012848447374266,0.02061840885977822,153,152,142,2,0.10291381659773217
